word	freq	tag	base	lemma
teremte	8	3sg.ipf.indef	teremte	teremt
tére	8	3sg.ipf.indef	tére	tér
visszatére	8	3sg.ipf.indef	visszatére	visszatér
üte	8	3sg.ipf.indef	üte	üt
bevivé	7	3sg.ipf.def	vivé	viv
elhívá	7	3sg.ipf.def	hívá	hív
eljuta	7	3sg.ipf.indef	juta	jut
elveszte	7	3sg.ipf.indef	veszte	veszt
felméne	7	3sg.ipf.indef	méne	mén
gyógyíta	7	3sg.ipf.indef	gyógyíta	gyógyít
indula	7	3sg.ipf.indef	indula	indul
kihozá	7	3sg.ipf.def	hozá	hoz
kiűzé	7	3sg.ipf.def	űzé	űz
megháborítá	7	3sg.ipf.def	háborítá	háborít
megkeserülé	7	3sg.ipf.def	keserülé	keserül
megmarada	7	3sg.ipf.indef	marada	marad
megmonda	7	3sg.ipf.indef	monda	mond
megmosá	7	3sg.ipf.def	mosá	mos
megtekinté	7	3sg.ipf.def	tekinté	tekint
megtudná	7	3sg.ipf.def	tudná	tudn
megtörlé	7	3sg.ipf.def	törlé	törl
megölé	7	3sg.ipf.def	ölé	öl
odamene	7	3sg.ipf.indef	odamene	odamen
prófétála	7	3sg.ipf.indef	prófétála	prófétál
álla	7	3sg.ipf.indef	álla	áll
árta	7	3sg.ipf.indef	árta	árt
építe	7	3sg.ipf.indef	építe	épít
írá	7	3sg.ipf.def	írá	ír
önté	7	3sg.ipf.def	önté	önt
betölté	6	3sg.ipf.def	tölté	tölt
eltékozlá	6	3sg.ipf.def	tékozlá	tékozl
eltére	6	3sg.ipf.indef	tére	tér
halla	6	3sg.ipf.indef	halla	hall
inte	6	3sg.ipf.indef	inte	int
kivevé	6	3sg.ipf.def	vevé	vev
megbáná	6	3sg.ipf.def	báná	bán
megosztá	6	3sg.ipf.def	osztá	oszt
megápolá	6	3sg.ipf.def	ápolá	ápol
méne	6	3sg.ipf.indef	méne	mén
szolgála	6	3sg.ipf.indef	szolgála	szolgál
szála	6	3sg.ipf.indef	szála	szál
üvölte	6	3sg.ipf.indef	üvölte	üvölt
üvölté	6	3sg.ipf.def	üvölté	üvölt
bekötözé	5	3sg.ipf.def	kötözé	kötöz
eldönté	5	3sg.ipf.def	dönté	dönt
elindula	5	3sg.ipf.indef	indula	indul
elvenné	5	3sg.ipf.def	venné	venn
elvivé	5	3sg.ipf.def	vivé	viv
hengeríte	5	3sg.ipf.indef	hengeríte	hengerít
hozzáhívá	5	3sg.ipf.def	hozzáhívá	hozzáhív
lehele	5	3sg.ipf.indef	lehele	lehel
levevé	5	3sg.ipf.def	levevé	levev
megnémula	5	3sg.ipf.indef	némula	némul
megostorozá	5	3sg.ipf.def	ostorozá	ostoroz
megpirítá	5	3sg.ipf.def	pirítá	pirít
megutálá	5	3sg.ipf.def	utálá	utál
megvigasztaná	5	3sg.ipf.def	vigasztaná	vigasztan
megépüle	5	3sg.ipf.indef	épüle	épül
megérzé	5	3sg.ipf.def	érzé	érz
nyitá	5	3sg.ipf.def	nyitá	nyit
repese	5	3sg.ipf.indef	repese	repes
rohana	5	3sg.ipf.indef	rohana	rohan
vigada	5	3sg.ipf.indef	vigada	vigad
vévé	5	3sg.ipf.def	vévé	vév
íra	5	3sg.ipf.indef	íra	ír
